review_id,product_name,review_text,rating,sentiment
REV10000,Laptop X1,Best purchase I have made in a long time. Will buy again.,5,positive
REV10001,Ergonomic Chair Z,"Great product, worth every penny. Quick delivery as well.",4,positive
REV10002,Laptop X1,Very high quality. Highly recommended to everyone.,5,positive
REV10003,Laptop X1,Worst customer service ever. Product does not work.,1,negative
REV10004,Smart Watch Y,Best purchase I have made in a long time. Will buy again.,5,positive
REV10005,Smart Watch Y,Best purchase I have made in a long time. Will buy again.,4,positive
REV10006,Ergonomic Chair Z,Very high quality. Highly recommended to everyone.,4,positive
REV10007,Smart Watch Y,Worst customer service ever. Product does not work.,1,negative
REV10008,Ergonomic Chair Z,Exceeded my expectations. Excellent customer service.,5,positive
REV10009,Ergonomic Chair Z,Horrible experience. The item was extremely cheap and fragile.,1,negative
REV10010,Smart Watch Y,Exceeded my expectations. Excellent customer service.,5,positive
REV10011,Smart Watch Y,I absolutely love this product! Works perfectly and looks great.,5,positive
REV10012,Noise Cancel Headphones,Very high quality. Highly recommended to everyone.,4,positive
REV10013,Ergonomic Chair Z,I absolutely love this product! Works perfectly and looks great.,4,positive
REV10014,Noise Cancel Headphones,Exceeded my expectations. Excellent customer service.,5,positive
REV10015,Laptop X1,Very high quality. Highly recommended to everyone.,4,positive
REV10016,Smart Watch Y,Best purchase I have made in a long time. Will buy again.,5,positive
REV10017,Ergonomic Chair Z,Exceeded my expectations. Excellent customer service.,4,positive
REV10018,Ultra Blender 3000,Do not waste your money on this. Waste of time.,2,negative
REV10019,Laptop X1,Best purchase I have made in a long time. Will buy again.,5,positive
REV10020,Ultra Blender 3000,Average. It is functional but features are quite basic.,3,neutral
REV10021,Laptop X1,"Great product, worth every penny. Quick delivery as well.",4,positive
REV10022,Laptop X1,Best purchase I have made in a long time. Will buy again.,4,positive
REV10023,Smart Watch Y,Exceeded my expectations. Excellent customer service.,5,positive
REV10024,Ergonomic Chair Z,Best purchase I have made in a long time. Will buy again.,5,positive
REV10025,Smart Watch Y,Average. It is functional but features are quite basic.,3,neutral
REV10026,Laptop X1,Very high quality. Highly recommended to everyone.,5,positive
REV10027,Laptop X1,Worst customer service ever. Product does not work.,2,negative
REV10028,Smart Watch Y,I absolutely love this product! Works perfectly and looks great.,4,positive
REV10029,Laptop X1,"Terrible quality, broke after two days of normal use.",2,negative
REV10030,Noise Cancel Headphones,Satisfactory performance. It works but has some minor issues.,3,neutral
REV10031,Ultra Blender 3000,"It is okay, nothing special but does the job.",3,neutral
REV10032,Noise Cancel Headphones,Exceeded my expectations. Excellent customer service.,4,positive
REV10033,Ergonomic Chair Z,Worst customer service ever. Product does not work.,2,negative
REV10034,Ergonomic Chair Z,Average product. Not bad but not great either.,3,neutral
REV10035,Ergonomic Chair Z,Worst customer service ever. Product does not work.,1,negative
REV10036,Smart Watch Y,"Amazing features, very easy to use. 5 stars!",5,positive
REV10037,Noise Cancel Headphones,I absolutely love this product! Works perfectly and looks great.,4,positive
REV10038,Noise Cancel Headphones,Fair product for the price. Not complaining.,3,neutral
REV10039,Noise Cancel Headphones,Best purchase I have made in a long time. Will buy again.,5,positive
REV10040,Laptop X1,Very high quality. Highly recommended to everyone.,4,positive
REV10041,Noise Cancel Headphones,Horrible experience. The item was extremely cheap and fragile.,1,negative
REV10042,Noise Cancel Headphones,"Amazing features, very easy to use. 5 stars!",4,positive
REV10043,Laptop X1,I absolutely love this product! Works perfectly and looks great.,5,positive
REV10044,Laptop X1,"Amazing features, very easy to use. 5 stars!",5,positive
REV10045,Laptop X1,Very high quality. Highly recommended to everyone.,5,positive
REV10046,Ultra Blender 3000,"Amazing features, very easy to use. 5 stars!",4,positive
REV10047,Ultra Blender 3000,Best purchase I have made in a long time. Will buy again.,5,positive
REV10048,Noise Cancel Headphones,I absolutely love this product! Works perfectly and looks great.,4,positive
REV10049,Laptop X1,Best purchase I have made in a long time. Will buy again.,4,positive
REV10050,Ergonomic Chair Z,Exceeded my expectations. Excellent customer service.,4,positive
REV10051,Smart Watch Y,Very high quality. Highly recommended to everyone.,4,positive
REV10052,Ultra Blender 3000,Average product. Not bad but not great either.,3,neutral
REV10053,Laptop X1,I absolutely love this product! Works perfectly and looks great.,5,positive
REV10054,Ergonomic Chair Z,I absolutely love this product! Works perfectly and looks great.,5,positive
REV10055,Noise Cancel Headphones,"Amazing features, very easy to use. 5 stars!",5,positive
REV10056,Ultra Blender 3000,Best purchase I have made in a long time. Will buy again.,4,positive
REV10057,Laptop X1,I absolutely love this product! Works perfectly and looks great.,5,positive
REV10058,Noise Cancel Headphones,"Amazing features, very easy to use. 5 stars!",5,positive
REV10059,Noise Cancel Headphones,Do not waste your money on this. Waste of time.,2,negative
