review_id,product_name,review_text,rating,sentiment
REV10518,Phone Case,Not worth it. The battery life is bad. Broke after a week.,2,negative
REV11144,Coffee Maker,Customer service is great. Love it.,5,positive
REV12038,Blender Pro,Poor quality. Customer service is bad. Not worth it.,1,negative
REV10481,Laptop X1,The build quality is great. Exactly as described.,4,positive
REV10268,Blender Pro,The design is bad. Terrible.,1,negative
REV11204,Phone Case,The delivery is great. Great.,5,positive
REV12155,Laptop X1,Love it. The battery life is great.,4,positive
REV11805,Phone Case,Fast and smooth but regret buying. Neither good nor bad.,3,neutral
REV12136,Phone Case,The price is bad. Stopped working.,1,negative
REV10261,Running Shoes,Okay. The material is fine.,3,neutral
REV10092,Phone Case,Not worth it. Worst purchase. The battery life is bad.,2,negative
REV11024,Blender Pro,Arrived damaged. The material is bad. Not worth it.,2,negative
REV11810,Backpack,The size is great. Not disappointed at all. Fantastic.,5,positive
REV12555,Smart Watch,The build quality is great. Excellent.,4,positive
REV12013,Blender Pro,Not worth it. The packaging is bad. Arrived damaged.,2,negative
REV10941,Wireless Earbuds,Great. Customer service is great.,4,positive
REV10027,Running Shoes,Neither good nor bad. Customer service is fine.,3,neutral
REV11757,Running Shoes,The material is great. Not disappointed at all. Amazing quality.,5,positive
REV10553,Phone Case,Mediocre. The design is fine.,3,neutral
REV12548,Coffee Maker,The packaging is great. Fantastic. Not disappointed at all.,4,positive
REV12114,Wireless Earbuds,The material is great. Amazing quality.,5,negative
REV11028,Phone Case,The material is great. Excellent.,4,positive
REV10700,Wireless Earbuds,Fine i guess. Exactly as described but stopped working.,3,neutral
REV10043,Running Shoes,Super happy. The battery life is great.,5,positive
REV12186,Blender Pro,Fantastic. The design is great.,5,positive
REV10637,Coffee Maker,Not worth it. Terrible. The price is bad.,1,negative
REV11894,Coffee Maker,The packaging is bad. Stopped working.,2,negative
REV10464,Laptop X1,Super happy. The packaging is great.,4,positive
REV12481,Smart Watch,Very reliable. The delivery is great.,5,positive
REV10786,Smart Watch,The delivery is great. Works perfectly.,5,positive
REV10331,Running Shoes,Worth every penny. Not disappointed at all. The build quality is great.,4,positive
REV12153,Blender Pro,Fantastic but worst purchase. Fine i guess.,3,neutral
REV10736,Backpack,The price is great. Fantastic.,4,positive
REV11750,Laptop X1,The size is great. Love it.,5,positive
REV11008,Coffee Maker,Decent for the price. Excellent but broke after a week.,3,neutral
REV12364,Laptop X1,Highly recommend. The delivery is great.,5,positive
REV12079,Office Chair,The battery life is great. Exceeded expectations.,5,positive
REV10249,Backpack,Decent for the price. Exceeded expectations but terrible.,3,neutral
REV10501,Blender Pro,The design is great. Fast and smooth.,4,positive
REV11425,Office Chair,Love it. The price is great.,4,positive
REV12094,Running Shoes,Not disappointed at all. Works perfectly. The material is great.,5,positive
REV12381,Blender Pro,Poor quality. The design is bad.,1,positive
REV12315,Smart Watch,The packaging is great. Exactly as described.,4,positive
REV12598,Desk Lamp,Customer service is great. Highly recommend.,5,positive
REV12152,Backpack,The battery life is fine. Does the job.,3,neutral
REV11578,Desk Lamp,Super happy. The price is great.,4,positive
REV10083,Office Chair,The build quality is great. Excellent.,4,positive
REV11174,Blender Pro,Far too slow. The delivery is bad.,1,negative
REV11123,Smart Watch,Fantastic. The build quality is great.,4,positive
REV12075,Coffee Maker,Regret buying. The battery life is bad.,2,negative
REV11010,Laptop X1,The price is great. Exceeded expectations.,4,positive
REV10038,Coffee Maker,The material is fine. Okay.,3,neutral
REV11416,Smart Watch,The material is great. Exactly as described.,5,positive
REV11740,Backpack,As expected. Super happy but very disappointed.,3,neutral
REV10782,Blender Pro,Waste of money. The build quality is bad.,2,negative
REV11745,Backpack,Exceeded expectations. The battery life is great.,5,positive
REV11859,Smart Watch,The build quality is bad. Terrible.,2,negative
REV12499,Wireless Earbuds,The size is great. Love it.,5,positive
REV10984,Office Chair,The delivery is bad. Arrived damaged.,2,negative
REV10962,Desk Lamp,Waste of money. The price is bad.,2,negative
REV10080,Running Shoes,Not disappointed at all. The packaging is great. Works perfectly.,5,positive
REV10823,Wireless Earbuds,The material is bad. Arrived damaged.,1,negative
REV11558,Running Shoes,As expected. The build quality is fine.,3,neutral
REV12470,Laptop X1,Great but worst purchase. Fine i guess.,3,neutral
REV11700,Running Shoes,Highly recommend but regret buying. Mediocre.,3,neutral
REV11494,Blender Pro,Arrived damaged. Customer service is bad. Not worth it.,2,negative
REV10949,Running Shoes,The size is great. Great.,5,positive
REV12342,Desk Lamp,Very reliable. The design is great.,5,positive
REV11586,Smart Watch,Fast and smooth but very disappointed. Mediocre.,3,neutral
REV11683,Backpack,Highly recommend. The delivery is great.,5,positive
REV12475,Smart Watch,Cheaply made. The delivery is bad.,2,negative
REV11151,Blender Pro,Exactly as described. The material is great.,5,negative
REV10189,Coffee Maker,Not disappointed at all. Works perfectly. The battery life is great.,4,positive
REV12225,Laptop X1,The size is great. Fantastic.,4,positive
REV10540,Running Shoes,The build quality is great. Amazing quality.,5,positive
REV11392,Wireless Earbuds,The price is great. Worth every penny.,5,positive
REV12081,Running Shoes,The material is bad. Very disappointed.,2,negative
REV11366,Backpack,The delivery is fine. Average.,3,neutral
REV12424,Wireless Earbuds,Highly recommend. The design is great.,5,positive
REV11635,Desk Lamp,Amazing quality. The build quality is great.,4,positive
REV10012,Desk Lamp,Customer service is bad. Would not recommend.,2,negative
REV11995,Office Chair,The size is great. Love it.,4,positive
REV10369,Desk Lamp,Worth every penny. The price is great.,4,positive
REV11884,Laptop X1,Fast and smooth. The delivery is great.,4,positive
REV10687,Backpack,Exactly as described. The material is great.,5,neutral
REV12596,Desk Lamp,The build quality is bad. Not worth it. Poor quality.,2,negative
REV10911,Backpack,The price is bad. Arrived damaged.,2,negative
REV11848,Backpack,The material is bad. Far too slow.,2,negative
REV10216,Office Chair,The packaging is great. Exceeded expectations.,4,positive
REV10764,Laptop X1,Stopped working. The price is bad.,1,negative
REV11211,Coffee Maker,The design is bad. Not worth it. Cheaply made.,1,negative
REV12333,Blender Pro,The design is great. Fantastic.,4,positive
